Title,Genre,In Theaters,Critics Score,Number of Critic Ratings,Audience Score,Number of User Ratings,Budget,Box Office US & Canada,Box Office Worldwide,Runtime Minutes,Synopsis,Critics Consensus,Studio,Content Rating,URL
Short Term 12,Drama,2013-08-23,98%,169,92%,21403,"$1,000,000 ","$1,013,100 ","$2,300,000 ",21,"I Am Not a Hipster director Destin Daniel Cretton expands his 2008 short of the same name into a feature film depicting the struggles of a compassionate twentysomething contending with some unexpected life developments while working as a supervisor at a home for at-risk teens. Grace (Brie Larson) has dedicated her life to helping kids who have slipped through the cracks of the system. Committed to her job and in love with kindhearted co-worker Mason (John Gallagher Jr.), she's still struggling to make sense of her own troubled past when she learns that her life is about to change forever. Meanwhile, into the facility walks a young girl who's been constantly shifted between group homes due to dangerous behavior. Almost immediately, Grace forges a powerful connection with her new charge. Now if Grace can just open up to Mason the way she encourages her kids to open up to her, she may find a way to make peace with the future while still providing support to the kids who depend on her the most. ~ Jason Buchanan, Rovi","Short Term 12 is an emphatic, revealing drama that pulls audiences into the perspective of neglected youths.",Cinedigm,R ,https://www.rottentomatoes.com/m/short_term_12_2013/
Sicario,Action & Adventure,2015-10-02,92%,267,85%,67465,"$30,000,000 ","$46,889,293 ","$84,900,000 ",121,"In the lawless border area stretching between the U.S. and Mexico, an idealistic FBI agent [Emily Blunt] is enlisted by an elite government task force official [Josh Brolin] to aid in the escalating war against drugs. Led by an enigmatic consultant with a questionable past [Benicio Del Toro], the team sets out on a clandestine journey forcing Kate to question everything that she believes in order to survive. (C) Lionsgate","Led by outstanding work from Emily Blunt and Benicio del Toro, Sicario is a taut, tightly wound thriller with much more on its mind than attention-getting set pieces.",Lionsgate,R ,https://www.rottentomatoes.com/m/sicario_2015/
Sing Street,Drama,2016-04-15,95%,205,92%,16844,"$4,000,000 ","$3,233,839 ","$13,600,000 ",106,"From director John Carney (ONCE, BEGIN AGAIN), SING STREET takes us back to 1980s Dublin seen through the eyes of a 14-year-old boy named Conor (Ferdia Walsh-Peelo) who is looking for a break from a home strained by his parents' relationship and money troubles, while trying to adjust to his new inner-city public school where the kids are rough and the teachers are rougher. He finds a glimmer of hope in the mysterious, über-cool and beautiful Raphina (Lucy Boynton), and with the aim of winning her heart he invites her to star in his band's music videos. There's only one problem: he's not part of a band...yet. She agrees, and now Conor must deliver what he's promised - calling himself ""Cosmo"" and immersing himself in the vibrant rock music trends of the decade, he forms a band with a few lads, and the group pours their heart into writing lyrics and shooting videos. Inspired by writer/director John Carney's life and love for music, SING STREET shows us a world where music has the power to take us away from the turmoil of everyday life and transform us into something greater.","Sing Street is a feel-good musical with huge heart and irresistible optimism, and its charmimg cast and hummable tunes help to elevate its familiar plotting.",Likely Story,PG-13 ,https://www.rottentomatoes.com/m/sing_street/
Skyfall,Action & Adventure,2012-11-09,92%,371,86%,373627,"$200,000,000 ","$299,300,000 ","$1,109,000,000 ",145,"In Skyfall, Bond's loyalty to M is tested as her past comes back to haunt her. As MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost. -- (C) Official Site","Sam Mendes brings Bond surging back with a smart, sexy, riveting action thriller that qualifies as one of the best 007 films to date.",MGM,PG-13 ,https://www.rottentomatoes.com/m/skyfall/
Snowpiercer,Fantasy & Science Fiction,2014-06-27,95%,243,72%,58711,"$40,000,000 ","$2,786,828 ","$86,800,000 ",126,"In this sci-fi epic from director Bong Joon Ho (The Host, Mother), a failed global-warming experiment kills off most life on the planet. The final survivors board the SNOWPIERCER, a train that travels around the globe via a perpetual-motion engine. When cryptic messages incite the passengers to revolt, the train thrusts full-throttle towards disaster. (c) TWC-Radius",Snowpiercer offers an audaciously ambitious action spectacular for filmgoers numb to effects-driven blockbusters.,Radius-TWC,R ,https://www.rottentomatoes.com/m/snowpiercer/
The Social Network,Drama,2010-10-01,96%,314,86%,203610,"$50,000,000 ","$96,400,000 ","$224,900,000 ",120,"""The Social Network"" explores the moment at which Facebook, the most revolutionary social phenomena of the new century, was invented -- through the warring perspectives of the super-smart young men who each claimed to be there at its inception. The result is a drama rife with both creation and destruction; one that audaciously avoids a singular POV, but instead, by tracking dueling narratives, mirrors the clashing truths and constantly morphing social relationships that define our time. Drawn from multiple sources, the film captures the visceral thrill of the heady early days of a culture-changing phenomenon in the making -- and the way it both pulled a group of young revolutionaries together and then split them apart.","Impeccably scripted, beautifully directed, and filled with fine performances, The Social Network is a riveting, ambitious example of modern filmmaking at its finest.",Columbia Pictures,PG-13 ,https://www.rottentomatoes.com/m/the-social-network/
Son of Saul,Drama,2015-12-18,96%,226,80%,12945,"$1,670,000 ","$1,777,043 ","$9,700,000 ",107,"In this searing drama, a concentration camp inmate tasked with burning the dead discovers the body of his young son, and must choose between participating in the clandestine uprising being planned among the prisoners, or securing a proper Jewish burial for his child.","Grimly intense yet thoroughly rewarding, Son of Saul offers an unforgettable viewing experience -- and establishes director László Nemes as a talent to watch.",Sony Pictures Classics,R ,https://www.rottentomatoes.com/m/son_of_saul/
Sorry to Bother You,Comedy,2018-07-13,93%,291,70%,5875,"$3,200,000 ","$17,493,096 ","$18,300,000 ",105,"In an alternate present-day version of Oakland, black telemarketer Cassius Green (Lakeith Stanfield) discovers a magical key to professional success, which propels him into a macabre universe of ""powercalling"" that leads to material glory. But the upswing in Cassius' career raises serious red flags with his girlfriend Detroit (Tessa Thompson), a performance artist and minimum-wage striver who's secretly part of a Banksy-style activist collective. As his friends and co-workers organize in protest of corporate oppression, Cassius falls under the spell of his company's cocaine-snorting CEO Steve Lift (Armie Hammer), who offers him a salary beyond his wildest dreams.","Fearlessly ambitious, scathingly funny, and thoroughly original, Sorry to Bother You loudly heralds the arrival of a fresh filmmaking talent in writer-director Boots Riley.",Annapurna Pictures,R ,https://www.rottentomatoes.com/m/sorry_to_bother_you_2018/
Spider-Man: Far From Home,Action & Adventure,2019-07-02,91%,423,95%,69210,"$160,000,000 ","$390,532,085 ","$1,132,000,000 ",130,"Peter Parker returns in Spider-Man: Far From Home, the next chapter of the Spider-Man: Homecoming series! Our friendly neighborhood Super Hero decides to join his best friends Ned, MJ, and the rest of the gang on a European vacation. However, Peter's plan to leave super heroics behind for a few weeks are quickly scrapped when he begrudgingly agrees to help Nick Fury uncover the mystery of several elemental creature attacks, creating havoc across the continent!","A breezily unpredictable blend of teen romance and superhero action, Spider-Man: Far from Home stylishly sets the stage for the next era of the MCU.",Sony Pictures,PG-13 ,https://www.rottentomatoes.com/m/spider_man_far_from_home/
Spider-Man: Homecoming,Action & Adventure,2017-07-07,92%,382,87%,107287,"$175,000,000 ","$334,166,825 ","$880,200,000 ",133,"A young Peter Parker/Spider-Man (Tom Holland), who made his sensational debut in Captain America: Civil War, begins to navigate his newfound identity as the web-slinging super hero in Spider-Man: Homecoming. Thrilled by his experience with the Avengers, Peter returns home, where he lives with his Aunt May (Marisa Tomei), under the watchful eye of his new mentor Tony Stark (Robert Downey, Jr.). Peter tries to fall back into his normal daily routine--distracted by thoughts of proving himself to be more than just your friendly neighborhood Spider-Man--but when the Vulture (Michael Keaton) emerges as a new villain, everything that Peter holds most important will be threatened.","Spider-Man: Homecoming does whatever a second reboot can, delivering a colorful, fun adventure that fits snugly in the sprawling MCU without getting bogged down in franchise-building.",Sony Pictures,PG-13 ,https://www.rottentomatoes.com/m/spider_man_homecoming/
Spider-Man: Into the Spider-Verse,Animation,2018-12-14,97%,371,93%,18887,"$90,000,000 ","$190,241,310 ","$375,500,000 ",100,"Phil Lord and Christopher Miller, the creative minds behind The Lego Movie and 21 Jump Street, bring their unique talents to a fresh vision of a different Spider-Man Universe, with a groundbreaking visual style that's the first of its kind. Spider-Man: Into the Spider-Verse introduces Brooklyn teen Miles Morales, and the limitless possibilities of the Spider-Verse, where more than one can wear the mask.","Spider-Man: Into the Spider-Verse matches bold storytelling with striking animation for a purely enjoyable adventure with heart, humor, and plenty of superhero action.",Sony Pictures,PG ,https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse/
Spotlight,Drama,2015-11-06,97%,360,93%,70055,"$20,000,000 ","$45,055,776 ","$98,300,000 ",129,"SPOTLIGHT tells the riveting true story of the Pulitzer Prize-winning Boston Globe investigation that would rock the city and cause a crisis in one of the world's oldest and most trusted institutions. When the newspaper's tenacious ""Spotlight"" team of reporters delves into allegations of abuse in the Catholic Church, their year-long investigation uncovers a decades-long cover-up at the highest levels of Boston's religious, legal, and government establishment, touching off a wave of revelations around the world. Directed by Academy Award-nominee Tom McCarthy, SPOTLIGHT is a tense investigative dramatic-thriller, tracing the steps to one of the biggest cover-ups in modern times. (C) Open Road","Spotlight gracefully handles the lurid details of its fact-based story while resisting the temptation to lionize its heroes, resulting in a drama that honors the audience as well as its real-life subjects.",Open Road Films,R ,https://www.rottentomatoes.com/m/spotlight_2015/
Spy,Comedy,2015-06-05,95%,250,78%,82708,"$65,000,000 ","$89,914,425 ","$235,700,000 ",117,"Susan Cooper (Melissa McCarthy) is an unassuming, deskbound CIA analyst, and the unsung hero behind the Agency's most dangerous missions. But when her partner (Jude Law) falls off the grid and another top agent (Jason Statham) is compromised, she volunteers to go deep undercover to infiltrate the world of a deadly arms dealer, and prevent a global disaster. (C) Fox","Simultaneously broad and progressive, Spy offers further proof that Melissa McCarthy and writer-director Paul Feig bring out the best in one another -- and delivers scores of belly laughs along the way.",20th Century Fox,R ,https://www.rottentomatoes.com/m/spy_2015/
Stan & Ollie,Drama,2019-01-25,93%,205,84%,1893,"$10,000,000 ","$5,470,235 ","$26,300,000 ",97,"Laurel & Hardy, one of the world's great comedy teams, set out on a variety hall tour of Britain in 1953. Diminished by age and with their golden era as the kings of Hollywood comedy now behind them, they face an uncertain future. As the charm and beauty of their performances shines through, they re-connect with their adoring fans. The tour becomes a hit, but Stan & Ollie can't quite shake the specter of Laurel and Hardy's past; the long-buried ghosts, coupled with Oliver's failing health, start to threaten their precious partnership. A portrait of the most tender and poignant of creative marriages, they are aware that they may be approaching their swan song, trying to rediscover just how much they mean to each other.",Stan & Ollie pays tribute to a pair of beloved entertainers with an affectionate look behind the scenes -- and a moving look at the burdens and blessings of a creative bond.,Sony Pictures Classics,PG ,https://www.rottentomatoes.com/m/stan_and_ollie/
A Star Is Born,Drama,2018-10-05,90%,497,79%,19736,"$36,000,000 ","$215,288,866 ","$435,000,000 ",135,"In ""A Star Is Born,"" Bradley Cooper and Lady Gaga fuse their considerable talents to depict the raw and passionate tale of Jack and Ally, two artistic souls coming together, on stage and in life. Theirs is a complex journey through the beauty and the heartbreak of a relationship struggling to survive. In this new take on the iconic love story, four-time Oscar nominee Cooper (""American Sniper,"" ""American Hustle,"" ""Silver Linings Playbook""), makes his directorial debut, and also stars alongside multiple award-winning, Oscar-nominated music superstar Gaga in her first leading role in a major motion picture. Cooper portrays seasoned musician Jackson Maine, who discovers and falls in love with struggling artist Ally. She has given up on her dream to become a successful singer, until she meets Jack, who immediately sees her natural talent.","With appealing leads, deft direction, and an affecting love story, A Star Is Born is a remake done right -- and a reminder that some stories can be just as effective in the retelling.",Warner Bros. Pictures,R ,https://www.rottentomatoes.com/m/a_star_is_born_2018/
Star Wars: Episode VII - The Force Awakens,Action & Adventure,2015-12-18,93%,426,86%,233271,"$306,000,000 ","$936,658,640 ","$2,066,000,000 ",136,"The Star Wars saga continues with this seventh entry -- the first under the Walt Disney Co. umbrella. The film will act as the start of a new trilogy set after the events of Return of the Jedi. J.J. Abrams directs from a script by Michael Arndt. ~ Jeremy Wheeler, Rovi","Packed with action and populated by both familiar faces and fresh blood, The Force Awakens successfully recalls the series' former glory while injecting it with renewed energy.",Walt Disney Pictures,PG-13 ,https://www.rottentomatoes.com/m/star_wars_episode_vii_the_force_awakens/
Star Wars: The Last Jedi,Action & Adventure,2017-12-15,91%,458,43%,217457,"$200,000,000 ","$619,117,636 ","$1,333,000,000 ",152,"In Lucasfilm's Star Wars: The Last Jedi, the Skywalker saga continues as the heroes of The Force Awakens join the galactic legends in an epic adventure that unlocks age-old mysteries of the Force and shocking revelations of the past.",Star Wars: The Last Jedi honors the saga's rich legacy while adding some surprising twists -- and delivering all the emotion-rich action fans could hope for.,Walt Disney Pictures,PG-13 ,https://www.rottentomatoes.com/m/star_wars_the_last_jedi/
Starred Up,Drama,2014-08-27,99%,113,84%,16812,"$2,630,000 ","$54,915 ","$3,000,000 ",106,"19-year-old Eric (Jack O'Connell, star of the upcoming UNBROKEN), arrogant and ultra-violent, is prematurely transferred to the same adult prison facility as his estranged father (Ben Mendelsohn, THE DARK KNIGHT RISES). As his explosive temper quickly finds him enemies in both prison authorities and fellow inmates - and his already volatile relationship with his father is pushed past breaking point - Eric is approached by a volunteer psychotherapist (Rupert Friend, ""Homeland""), who runs an anger management group for prisoners. Torn between gang politics, prison corruption, and a glimmer of something better, Eric finds himself in a fight for his own life, unsure if his own father is there to protect him or join in punishing him. Written by prison system therapist Jonathan Asser, STARRED UP is a merciless, uncompromising portrayal of a dehumanizing life behind bars, and the most accomplished film of David Mackenzie's career; as father and son, Mendelsohn and O'Connell give extraordinary performances, charting a path that resembles Greek tragedy. (c) Tribeca Films","Smart, hard-hitting, and queasily realistic, Starred Up is an instant classic of U.K. prison cinema.",Tribeca Films,NR,https://www.rottentomatoes.com/m/starred_up/
Summer 1993 (Estiu 1993),Drama,2018-05-25,100%,88,81%,647,"$1,070,000 ","$185,903 ","$1,900,000 ",96,"In Carla Simón's touching autobiographical film, six-year-old Frida looks on in silence as the last objects from her recently deceased mother's apartment in Barcelona are placed in boxes. Although her aunt, uncle, and younger cousin Anna welcome her with open arms, it's only very slowly that Frida begins to get used to her new home in the countryside. Punctuated by moments of youthful exuberance and mature ruminations, this coming of age drama, set amongst summery hues, is an extraordinarily moving snapshot of being a child in an adult world, anchored by flawless performances by its two young stars.",Summer 1993 (Estiu 1993) finds writer-director Carla Simón drawing on personal memories to create a thoughtful drama elevated by outstanding work from its young leads.,Oscilloscope Laboratories,NR,https://www.rottentomatoes.com/m/summer_1993/
The Tale of the Princess Kaguya,Fantasy & Science Fiction,2014-10-17,100%,92,90%,13862,"$49,000,000 ","$408,718 ","$27,000,000 ",137,"Legendary Studio Ghibli cofounder Isao Takahata (Grave of the Fireflies, Pom Poko) revisits Japan's most famous folktale in this gorgeous, hand-drawn masterwork, decades in the making. Found inside a shining stalk of bamboo by an old bamboo cutter (James Caan) and his wife (Mary Steenburgen), a tiny girl grows rapidly into an exquisite young lady (Chloë Grace Moretz). The mysterious young princess enthralls all who encounter her - but ultimately she must confront her fate, the punishment for her crime. From the studio that brought you Spirited Away, My Neighbor Totoro, and The Wind Rises comes a powerful and sweeping epic that redefines the limits of animated storytelling and marks a triumphant highpoint within an extraordinary career in filmmaking for director Isao Takahata. (C) GKIDS","Boasting narrative depth, frank honesty, and exquisite visual beauty, The Tale of the Princess Kaguya is a modern animated treasure with timeless appeal.",GKIDS,PG ,https://www.rottentomatoes.com/m/the_tale_of_the_princess_kaguya/
They Shall Not Grow Old,Documentary,2019-02-01,100%,147,91%,2082,,"$17,956,913 ","$20,400,000 ",99,"Peter Jackson directs this homage to the British troops of the First World War with never-before-seen-footage of soldiers as they faced the fear and uncertainty of frontline battle in Belgium. Digitally remastered and now in color, the footage has been studied by lip reading experts whose transcripts were recorded and used as audio for the film. Overlayed by a narrative of those who partook in the war from interviews made in the 1960s and 1970s, this historic revisiting marks one hundred years since the end of the Great War.","An impressive technical achievement with a walloping emotional impact, They Shall Not Grow Old pays brilliant cinematic tribute to the sacrifice of a generation.",Warner Bros. Pictures,R ,https://www.rottentomatoes.com/m/they_shall_not_grow_old/
Things to Come (L'avenir),Drama,2016-12-02,99%,142,71%,6676,"$3,200,000 ","$335,929 ","$5,500,000 ",100,"What happens when the life you've worked so hard to build falls apart? In THINGS TO COME, Oscar nominee Isabelle Huppert, in ""a career-best performance"" (Jordan Hoffman, Vanity Fair), portrays Nathalie, a philosophy teacher juggling a rich life of the mind with the day-to-day demands of career and family, which include frequent visits to her drama queen mother, played by the legendary Edith Scob(Eyes Without a Face). But with the bombshell revelation that her husband of 25 years is leaving her, Nathalie finds herself adrift, but also with a newfound sense of liberation. With nothing to hold her back, Nathalie sets out to define this new phase of her life and to rediscover herself. Winner of the Best Director award at the 2016 Berlin International Film Festival, the acclaimed new film from Mia Hansen-Love (Eden) is a soul-searching look at what it means to create a life of one's own.","A union to cherish between a writer-director and star working at peak power, Things to Come offers quietly profound observations on life, love, and the irrevocable passage of time.",IFC Films,PG-13 ,https://www.rottentomatoes.com/m/things_to_come_2016/
Thor: Ragnarok,Action & Adventure,2017-11-03,93%,404,87%,93718,"$180,000,000 ","$314,971,245 ","$854,000,000 ",130,"In Marvel Studios' ""Thor: Ragnarok,"" Thor is imprisoned on the other side of the universe without his mighty hammer and finds himself in a race against time to get back to Asgard to stop Ragnarok--the destruction of his homeworld and the end of Asgardian civilization--at the hands of an all-powerful new threat, the ruthless Hela. But first he must survive a deadly gladiatorial contest that pits him against his former ally and fellow Avenger--the Incredible Hulk!","Exciting, funny, and above all fun, Thor: Ragnarok is a colorful cosmic adventure that sets a new standard for its franchise -- and the rest of the Marvel Cinematic Universe.",Walt Disney Pictures,PG-13 ,https://www.rottentomatoes.com/m/thor_ragnarok_2017/
"Three Billboards Outside Ebbing, Missouri",Drama,2017-12-01,90%,391,87%,22424,"$12,000,000 ","$52,000,189 ","$159,200,000 ",115,"THREE BILLBOARDS OUTSIDE EBBING, MISSOURI is a darkly comic drama from Academy Award winner Martin McDonagh (IN BRUGES). After months have passed without a culprit in her daughter's murder case, Mildred Hayes (Academy Award winner Frances McDormand) makes a bold move, painting three signs leading into her town with a controversial message directed at William Willoughby (Academy Award nominee Woody Harrelson), the town's revered chief of police. When his second-in-command Officer Dixon (Sam Rockwell), an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.","Three Billboards Outside Ebbing, Missouri deftly balances black comedy against searing drama -- and draws unforgettable performances from its veteran cast along the way.",Fox Searchlight Pictures,R ,https://www.rottentomatoes.com/m/three_billboards_outside_ebbing_missouri/
Three Identical Strangers,Documentary,2018-06-29,97%,173,88%,2887,"$1,000,000 ","$12,320,845 ","$12,300,000 ",96,"Three strangers are reunited by astonishing coincidence after being born identical triplets, separated at birth, and adopted by three different families. Their jaw-dropping, feel-good story instantly becomes a global sensation complete with fame and celebrity, however, the fairy-tale reunion sets in motion a series of events that unearth an unimaginable secret -- a secret with radical repercussions for us all.","Surreal and surprising, Three Identical Strangers effectively questions the nature of reality and identity.",NEON,PG-13 ,https://www.rottentomatoes.com/m/three_identical_strangers/
Tower,Documentary,2016-10-12,99%,97,89%,3291,,"$98,092 ","$102,000 ",82,"August 1st 1966 was the day our innocence was shattered. A sniper rode the elevator to the top floor of the iconic University of Texas Tower and opened fire, holding the campus hostage for 96 minutes in what was a previously unimaginable event. TOWER combines archival footage with rotoscopic animation of the dramatic day, based entirely on first person testimonies from witnesses, heroes and survivors, in a seamless and suspenseful retelling of the unfolding tragedy. The film highlights the fear, confusion, and visceral realities that changed the lives of those present, and the rest of us, forever - a day when the worst in one man brought out the best in so many others.",Tower probes into a painful chapter of American history with sensitivity and grace -- and revisits its events from a valuable new perspective.,Go-Valley,NR,https://www.rottentomatoes.com/m/tower_2016/
Toy Story 3,Animation,2010-06-18,98%,305,89%,607065,"$200,000,000 ","$414,984,497 ","$1,067,000,000 ",103,"""Toy Story 3"" welcomes Woody, Buzz and the whole gang back to the big screen as Andy prepares to depart for college and his loyal toys find themselves in... daycare! These untamed tots with their sticky little fingers do not play nice, so it's all for one and one for all as plans for the great escape get underway. A few new faces-some plastic, some plush-join the adventure, including iconic swinging bachelor and Barbie's counterpart Ken, a thespian hedgehog named Mr. Pricklepants and a pink, strawberry-scented teddy bear called Lots-o'-Huggin' Bear.","Deftly blending comedy, adventure, and honest emotion, Toy Story 3 is a rare second sequel that really works.",Walt Disney Pictures,G,https://www.rottentomatoes.com/m/toy_story_3/
Toy Story 4,Animation,2019-06-21,97%,421,94%,53134,"$200,000,000 ","$434,038,008 ","$1,073,000,000 ",90,"Woody (voice of Tom Hanks) has always been confident about his place in the world, and that his priority is taking care of his kid, whether that's Andy or Bonnie. So when Bonnie's beloved new craft-project-turned-toy, Forky (voice of Tony Hale), declares himself as ""trash"" and not a toy, Woody takes it upon himself to show Forky why he should embrace being a toy. But when Bonnie takes the whole gang on her family's road trip excursion, Woody ends up on an unexpected detour that includes a reunion with his long-lost friend Bo Peep (voice of Annie Potts). After years of being on her own, Bo's adventurous spirit and life on the road belie her delicate porcelain exterior. As Woody and Bo realize they're worlds apart when it comes to life as a toy, they soon come to find that's the least of their worries.","Heartwarming, funny, and beautifully animated, Toy Story 4 manages the unlikely feat of extending -- and perhaps concluding -- a practically perfect animated saga.",Disney/Pixar,G,https://www.rottentomatoes.com/m/toy_story_4/
True Grit,Action & Adventure,2010-12-22,96%,271,85%,158047,"$38,000,000 ","$171,031,347 ","$252,300,000 ",110,"Fourteen-year-old Mattie Ross (Hailee Steinfeld) joins an aging U.S. marshal (Jeff Bridges) and another lawman (Matt Damon) in tracking her father's killer into hostile Indian territory in Joel and Ethan Coen's adaptation of Charles Portis' original novel. Sticking more closely to the source material than the 1969 feature adaptation starring Western icon John Wayne, the Coens' True Grit tells the story from the young girl's perspective, and re-teams the celebrated filmmaking duo with their No Country for Old Men producing partner Scott Rudin. Josh Brolin and Barry Pepper co-star. ~ Jason Buchanan, Rovi","Girded by strong performances from Jeff Bridges, Matt Damon, and newcomer Hailee Steinfeld, and lifted by some of the Coens' most finely tuned, unaffected work, True Grit is a worthy companion to the Charles Portis book.",Paramount Pictures,PG-13 ,https://www.rottentomatoes.com/m/true_grit_2010/
"Two Days, One Night",Drama,2014-12-24,97%,181,76%,15952,"$7,000,000 ","$1,436,243 ","$9,000,000 ",95,"Sandra (Cotillard) has just been released from the hospital to find that she no longer has a job. According to management, the only way Sandra can hope to regain her position at the factory is to convince her co-workers to sacrifice their much-needed yearly bonuses. Now, over the course of one weekend, Sandra must confront each co-worker individually in order to win a majority of their votes before time runs out. With TWO DAYS, ONE NIGHT, the Dardennes have turned a relevant social inquiry into a powerful statement on community solidarity, once again delivering a film that is simple on the surface but alive with both compassion and wisdom. (C) Sundance Selects","Another profoundly affecting work from the Dardenne brothers, Two Days, One Night delivers its timely message with honesty and clear-eyed compassion.",IFC Films,PG-13 ,https://www.rottentomatoes.com/m/two_days_one_night/
Us,Horror,2019-03-22,93%,510,59%,11704,"$20,000,000 ","$175,005,930 ","$255,100,000 ",120,"Set in present day along the iconic Northern California coastline, Us, from Monkeypaw Productions, stars Oscar (R) winner Lupita Nyong'o as Adelaide Wilson, a woman returning to her beachside childhood home with her husband, Gabe (Black Panther's Winston Duke), and their two children (Shahadi Wright Joseph, Evan Alex) for an idyllic summer getaway. Haunted by an unexplainable and unresolved trauma from her past and compounded by a string of eerie coincidences, Adelaide feels her paranoia elevate to high-alert as she grows increasingly certain that something bad is going to befall her family. After spending a tense beach day with their friends, the Tylers (Emmy winner Elisabeth Moss, Tim Heidecker, Cali Sheldon, Noelle Sheldon), Adelaide and her family return to their vacation home. When darkness falls, the Wilsons discover the silhouette of four figures holding hands as they stand in the driveway. Us pits an endearing American family against a terrifying and uncanny opponent: doppelgängers of themselves.","With Jordan Peele's second inventive, ambitious horror film, we have seen how to beat the sophomore jinx, and it is Us.",Universal Pictures,R ,https://www.rottentomatoes.com/m/us_2019/
Wadjda,Drama,2013-09-13,99%,120,88%,13445,,"$1,023,558 ","$14,500,000 ",100,"WADJDA is a movie of firsts. This first feature film shot entirely in Saudi Arabia is the story of a young girl living in a suburb of Riyadh determined to raise enough money to buy a bike in a society that sees bicycles as dangerous to a girl's virtue. Even more impressive, WADJDA is the first feature film made by a female Saudi filmmaker. In a country where cinemas are banned and women cannot drive or vote, writer- director Haifaa Al Mansour has broken many barriers with her new film. (c) Sony Classics","Transgressive in the best possible way, Wadjda presents a startlingly assured new voice from a corner of the globe where cinema has been all but silenced.",Sony Pictures Classics,PG ,https://www.rottentomatoes.com/m/wadjda_2013/
War for the Planet of the Apes,Fantasy & Science Fiction,2017-07-14,94%,344,84%,56694,"$150,000,000 ","$146,872,826 ","$490,700,000 ",140,"In War for the Planet of the Apes, the third chapter of the critically acclaimed blockbuster franchise, Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.","War for the Planet of the Apes combines breathtaking special effects and a powerful, poignant narrative to conclude this rebooted trilogy on a powerful -- and truly blockbuster -- note.",20th Century Fox,PG-13 ,https://www.rottentomatoes.com/m/war_for_the_planet_of_the_apes/
Weiner,Documentary,2016-05-20,97%,172,83%,7879,,"$1,675,196 ","$1,700,000 ",96,"Former U.S. Representative Anthony Weiner's catastrophic race for Mayor of New York City in 2013 is detailed in this behind-the-scenes documentary. Weiner became embroiled in his secondly publicized sexting scandal during the race, derailing his once-promising political career. Weiner is directed by Josh Kriegman and Elyse Steinberg and received its world premiere at the 2016 Sundance Film Festival.",Weiner uses sharp insight and untrammeled access to offer a portrait of a political and personal collapse that's as queasy as it is undeniably compelling.,Motto Pictures,R ,https://www.rottentomatoes.com/m/weiner/
What We Do In The Shadows,Comedy,2015-02-13,96%,178,86%,27124,"$1,600,000 ","$3,469,224 ","$6,900,000 ",86,"WHAT WE DO IN THE SHADOWS chronicles the adventures of four vampire roommates trying to get by in a modern world that's not always hospitable to the undead. Clement and Waititi, creators of the HBO hit series ""Flight of the Conchords,"" co-wrote, co-directed, and co-star in this hilarious send-up in which an endearingly unhip quartet of friends reveal to us or, rather, to the documentary crew that's filming them, the details of their daily-make that nightly-routine. Ranging in age from 183 to 8,000, and in appearance from adorably youthful to Nosferatu-crusty, they squabble over household chores, struggle to keep up with the latest trends in technology and fashion, antagonize the local werewolves, cruise clubs for lovely ladies, and deal with the rigors of living on a very, very strict diet. The film also stars Rhys Darby, Jonathan Brugh, Cori Gonzalez-Macuer, Stu Rutherford, and Jackie Van Beek, and was produced by Waititi, Chelsea Winstanley and Emanuel Michael. (C) Paladin","Smarter, fresher, and funnier than a modern vampire movie has any right to be, What We Do in the Shadows is bloody good fun.",Paladin Pictures,R ,https://www.rottentomatoes.com/m/what_we_do_in_the_shadows/
Whiplash,Drama,2014-10-10,93%,290,94%,69785,"$3,300,000 ","$13,092,000 ","$49,000,000 ",106,"Andrew Neyman is an ambitious young jazz drummer, single-minded in his pursuit to rise to the top of his elite east coast music conservatory. Plagued by the failed writing career of his father, Andrew hungers day and night to become one of the greats. Terence Fletcher, an instructor equally known for his teaching talents as for his terrifying methods, leads the top jazz ensemble in the school. Fletcher discovers Andrew and transfers the aspiring drummer into his band, forever changing the young man's life. Andrew's passion to achieve perfection quickly spirals into obsession, as his ruthless teacher continues to push him to the brink of both his ability-and his sanity. (C) Sony Classics","Intense, inspiring, and well-acted, Whiplash is a brilliant sophomore effort from director Damien Chazelle and a riveting vehicle for stars J.K. Simmons and Miles Teller.",Sony Pictures Classics,R ,https://www.rottentomatoes.com/m/whiplash_2014/
